Flag,Device,Mastering Type,Map,Notes
,10025_T12_9,simple,FLORES,
,10025-T17_1,simple,CAMPO LIMPO,
,10025-T19_2,simple,CAMPO LIMPO,
,10025-T63,simple,SERRA NEGRA,
,10025-63_1,simple,SERRA NEGRA,
,10025-63_1,simple,SERRA NEGRA,
,10025-T29,simple,SERRA NEGRA,
,10025-T73,simple,,
,APR00-APR05 AP,simple,APERAN,
,APR01-03 AP,simple,APERAN,
,APR-T05-T09 AP,simple,APERAN,
,10025_T74_17 SIAE,simple,ITAMARANDIBA,
,10025-63_1,simple,ITAMARANDIBA,
,,simple,FLORES,
,10025-T66,simple,PLA/OLHD/LAGOA,
,10025-T12_2,simple,CARBONITA,
,10025-T74_12(CORE),simple,SERRA NEGRA,
,APR00-APR05 ST,simple,APERAN,
,APR-T05-T09 AP,simple,APERAN,
,APR-T05-T09 ST,simple,APERAN,
,APR-APR11 AP>10,simple,APERAN,
,10.150.0.22,simple,APERAN,
,10025_T45,simple,APERAN,
,10025_T45,simple,APERAN,
,10.150.0.19,simple,APERAN,
,10.150.0.19,simple,APERAN,
,10025-T11,simple,CAMPO LIMPO,
,10025-T11_1,simple,CAMPO LIMPO,
,10025-T42,simple,CAMPO LIMPO,
,10025-T14,simple,CARBONITA,
,10025-T14,simple,CARBONITA,
,10025-T10_3,simple,PLA/OLHD/LAGOA,
,10025-T10_5,simple,PLA/OLHD/LAGOA,
,10025-T73_2,simple,PLA/OLHD/LAGOA,
,10.201.11.140,simple,CAMPO LIMPO,
,10025-T17_1,simple,CAMPO LIMPO,
,,simple,CARBONITA,
,10025-T66_4,simple,PLA/OLHD/LAGOA,
,10025_T127,simple,CAPELINHA,
,10.100.15.8 SIAE,simple,CARBONITA,
,SXT AP,simple,PLA/OLHD/LAGOA,
,10025-T64_1,simple,PLA/OLHD/LAGOA,
,10025-T11,simple,CAMPO LIMPO,
,10025-T11_1,simple,CAMPO LIMPO,
,10025-T11_2,simple,CAMPO LIMPO,
,10025-T11_2,simple,CAMPO LIMPO,
