Nome do Dispositivo,Endereço IP
NTC_T13 CONCENTRADOR PPPOE,177.184.190.250
10025-T19_10 MC,177.184.190.234
10025-T44,177.184.190.230
10025-T26_1 - CONC,177.184.190.226
CONCENTRADOR MENDONÇA,177.184.190.218
10025T22,177.184.190.218
10.1.15.49,177.184.190.202
10025-T84,177.184.190.198
FIBRA-MACAUBAS,177.184.190.139
OMNI_AREAO,177.184.190.46
SOCORRO PELA FIBRA DA BKP,177.184.190.24
LEME,177.184.185.66
RB-ARCELOR-ESTIVA,177.184.181.47
SADA,177.184.181.6
177.184.176.42,177.184.176.42
10025-T76-RETIRO,177.184.176.34
10025-T13 - LOJA,177.184.176.1
NANO APGIL,172.16.80.4
10025-T55,172.16.80.3
10025-T12_3,172.16.80.2
TORRE DA MADEIREIRA CAPELINHA,10.255.255.4
10.255.255.4(T45),10.255.255.4
10025_T45,10.255.255.4
10025-T73_2,10.201.11.250
10025-T73_5,10.201.11.249
10.201.11.248,10.201.11.248
SN3,10.201.11.238
10025_T17_14,10.201.11.235
10025-T17_10,10.201.11.233
10025-T17_13,10.201.11.232
10025-T17_12,10.201.11.231
10025-T17_6,10.201.11.230
10025-T17_4,10.201.11.229
AP RIOS2,10.201.11.228
10025-T39,10.201.11.227
10025-T17_3,10.201.11.226
10025-T16_4,10.201.11.222
10025-T16_5,10.201.11.218
AP-SANDRA,10.201.11.206
REPETIDORA VANIA,10.201.11.205
FIBRA-ABADIA,10.201.11.204
10025-T16,10.201.11.196
10025-T16_2,10.201.11.195
10025-T44_2,10.201.11.194
10.201.11.190,10.201.11.190
SN33,10.201.11.188
PARTICULARII,10.201.11.188
10025-T14,10.201.11.187
10025-T28,10.201.11.186
10025-T14_5,10.201.11.185
ST DUBLON,10.201.11.184
10025-T28_2,10.201.11.182
10025_T12_4,10.201.11.182
10025-T14_1,10.201.11.181
10025-T28_8,10.201.11.166
RB 750 -BANDEIRA,10.201.11.165
10025-T28_4,10.201.11.164
10.201.11.158,10.201.11.158
VICENTA,10.201.11.157
10.201.11.156,10.201.11.156
10025-T48_1,10.201.11.155
AP-GLAUCIA,10.201.11.153
10025-T47,10.201.11.152
10.201.11.151,10.201.11.151
10025-T45,10.201.11.150
10.201.11.149,10.201.11.149
10025-T48,10.201.11.148
10025-T46,10.201.11.148
10025-T44_5,10.201.11.147
10025-T44_4,10.201.11.146
10.201.11.140,10.201.11.140
10025-T17_2,10.201.11.139
10025-T44_1,10.201.11.138
10.201.11.126,10.201.11.126
10.201.11.125,10.201.11.125
10.201.11.124,10.201.11.124
10.201.11.123,10.201.11.123
10.201.11.122,10.201.11.122
10.201.11.121,10.201.11.121
10.201.11.120,10.201.11.120
10.201.11.119,10.201.11.119
10.201.11.118,10.201.11.118
10025-T116,10.201.11.118
10.201.11.117,10.201.11.117
NETCAR058-6,10.201.11.116
10.201.11.115,10.201.11.115
10.201.11.114,10.201.11.114
10025-T76_3,10.201.11.109
10025-T76_1,10.201.11.108
10025-T76_4,10.201.11.106
10025_T92_2 PONTE,10.201.11.102
10025_T92_1,10.201.11.101
10025-117,10.201.11.100
10025-T50_2,10.201.11.90
10025-T50_1,10.201.11.89
10025-T50,10.201.11.88
10025-T25_2,10.201.11.87
10025-T24_1,10.201.11.86
10025-T24,10.201.11.85
10025-T25_4,10.201.11.84
10025-T25_3,10.201.11.83
10025-T25,10.201.11.82
MERCADINHO,10.201.11.78
10025-T132_1,10.201.11.77
10025_T18_1,10.201.11.76
10025-T18,10.201.11.75
10025-T17_1,10.201.11.74
10.201.11.73,10.201.11.73
10025-T132_4,10.201.11.71
10025-T18_2,10.201.11.70
10025-T21,10.201.11.69
10025-T22_1,10.201.11.68
10025-T22,10.201.11.67
10025-T18_3,10.201.11.66
10025-T23_7,10.201.11.62
10025-T23,10.201.11.62
10025-T23_1,10.201.11.60
10025-T23_1,10.201.11.60
10025-T51,10.201.11.51
10025-T25,10.201.11.46
10025-T23_4,10.201.11.45
10025-T25_1,10.201.11.44
NETCAR058_4,10.201.11.43
10025-T23_3,10.201.11.40
10025-T23_5,10.201.11.39
10025-T23_6,10.201.11.37
10025-T19_7,10.201.11.35
10.201.11.12,10.201.11.12
10.201.11.11,10.201.11.11
ST-BOZO,10.201.11.10
10.201.11.6,10.201.11.6
10025-T44_3 - SXT NILZA,10.201.11.5
BERENICE ROCA,10.201.11.4
CASA ROCA CASSIO,10.201.11.3
10025-T60 AP PIC,10.201.11.2
10025-T10_3,10.200.206.149
10025-T10_5,10.200.206.147
10025-T26,10.200.206.146
10025_T13_13,10.200.206.125
AP_JACU,10.200.206.124
10025_T13_12,10.200.206.117
10025-T89,10.200.206.109
AAMAR,10.200.206.108
10025-T125_2,10.200.206.107
10025-T35_1,10.200.206.106
10025-T35_5,10.200.206.98
10025-T84_4,10.200.206.94
ST-PATRICIA,10.200.206.84
10.200.206.83,10.200.206.83
10.200.206.82,10.200.206.82
RECEB TABATINGA,10.200.206.81
10025-T80_2,10.200.206.80
AP-PATRICIA,10.200.206.79
AP TABATINGA,10.200.206.78
AP-BRAUNAS,10.200.206.77
10.200.206.76,10.200.206.76
10025-T84_1,10.200.206.75
10025-T85,10.200.206.74
10025-T83_2,10.200.206.73
10025-T83_1,10.200.206.72
10.200.206.71,10.200.206.71
10025-T83 SOLAR VENENO,10.200.206.70
10025-T80_1,10.200.206.69
10025-T80_3,10.200.206.68
10025-T80,10.200.206.67
10025-T35_3,10.200.206.66
10025-T40_11,10.200.206.61
10025-T40_10,10.200.206.60
10025-T40_5_RP_TOM,10.200.206.55
10025-T40_4,10.200.206.54
10025_T13_11,10.200.15.250
10.200.15.150,10.200.15.150
10025-26_2,10.200.15.149
10025-T62,10.200.15.148
10.200.15.147,10.200.15.147
10025-T62_2,10.200.15.147
RB-FLORES,10.200.15.94
10.200.15.92,10.200.15.92
AP-SALGADINHO,10.200.15.90
10.200.15.89,10.200.15.89
AP-ZNRURAL VARZEA,10.200.15.88
10.200.15.87,10.200.15.87
10.200.15.86,10.200.15.86
10.200.15.85,10.200.15.85
10.200.15.84,10.200.15.84
10.200.15.83,10.200.15.83
10.200.15.82,10.200.15.82
10.200.15.81,10.200.15.81
RB_IGREJA,10.200.15.79
10.200.15.78,10.200.15.78
NETCAR058,10.200.15.77
10025_T6,10.200.15.76
10025_T12_9,10.200.15.75
AP_ESC_SAL,10.200.15.74
10.200.15.72,10.200.15.72
100.25_T112_4,10.200.15.72
AP_LEO,10.200.15.71
10025-T112_3,10.200.15.71
RB-750,10.200.15.70
10025-T112_1,10.200.15.69
10025-T112,10.200.15.68
10025-T112_5,10.200.15.67
10025-T111_9,10.200.15.66
RB-OT,10.200.15.62
MundialNet_AP33,10.200.15.60
ST_ERN,10.200.15.59
RECE HELVECIO,10.200.15.55
10025_T13_9,10.200.15.54
10025_T15,10.200.15.53
ROCA CIZINHO,10.200.15.51
10025_T13_10,10.200.15.50
10025_T13_2,10.200.15.49
NETCAR058-5,10.200.15.36
AP-SN22,10.200.15.35
AP 58_4,10.200.15.34
10025-T128_2,10.200.15.28
10025-T128_3,10.200.15.27
10025-T128,10.200.15.26
10.200.15.26,10.200.15.26
10025-T64_1,10.200.15.25
LHG-XAC XAC,10.200.15.24
10025-T54_2,10.200.15.24
10025-T54_3,10.200.15.23
RB-RIO DAS PEDRAS,10.200.15.21
10025_T13_14,10.200.15.20
10025-T54,10.200.15.20
10025_T13_15,10.200.15.19
SXT ST,10.200.15.19
10.200.15.18,10.200.15.18
SXT AP,10.200.15.18
10025_T84_3,10.200.15.11
10025_T84_2,10.200.15.10
10025_T81_1,10.200.15.1
APR-APR11 ST,10.150.0.31
NTC_APR_T08,10.150.0.30
APR01-03 AP,10.150.0.24
APR01-03 ST,10.150.0.23
10.150.0.22,10.150.0.22
APR-0100 ST,10.150.0.21
NTC_APR_T06,10.150.0.20
10.150.0.19,10.150.0.19
NTC_APR_07,10.150.0.18
APR-T05-T072 AP,10.150.0.17
NTC_APR_T09,10.150.0.16
APR-T05-T09 ST,10.150.0.15
